date,Ticker,open,high,low,close,adj_close,volume,ret,return,ma20,ma50,vol20,updated_at,request_id,export_timestamp
2024-01-02,AAPL,187.14999389648438,188.44000244140625,183.88999938964844,185.63999938964844,184.08151245117188,82488700,,,,,,2025-08-19T01:00:58.784853+00:00,20250818_210058_AAPL_MSFT_20240101_20240110,2025-08-18T21:00:58.818475
2024-01-03,AAPL,184.22000122070312,185.8800048828125,183.42999267578125,184.25,182.70315551757812,58414500,-0.007487607165581278,-0.007487607165581278,,,,2025-08-19T01:00:58.784853+00:00,20250818_210058_AAPL_MSFT_20240101_20240110,2025-08-18T21:00:58.818475
2024-01-04,AAPL,182.14999389648438,183.08999633789062,180.8800048828125,181.91000366210938,180.38282775878906,71983600,-0.012700115809447077,-0.012700115809447077,,,,2025-08-19T01:00:58.784853+00:00,20250818_210058_AAPL_MSFT_20240101_20240110,2025-08-18T21:00:58.818475
2024-01-05,AAPL,181.99000549316406,182.75999450683594,180.1699981689453,181.17999267578125,179.65895080566406,62379700,-0.004013033761925966,-0.004013033761925966,,,,2025-08-19T01:00:58.784853+00:00,20250818_210058_AAPL_MSFT_20240101_20240110,2025-08-18T21:00:58.818475
2024-01-08,AAPL,182.08999633789062,185.60000610351562,181.5,185.55999755859375,184.00218200683594,59144500,0.024174881663950876,0.024174881663950876,,,,2025-08-19T01:00:58.784853+00:00,20250818_210058_AAPL_MSFT_20240101_20240110,2025-08-18T21:00:58.818475
2024-01-09,AAPL,183.9199981689453,185.14999389648438,182.72999572753906,185.13999938964844,183.58570861816406,42841800,-0.002263409002323802,-0.002263409002323802,,,,2025-08-19T01:00:58.784853+00:00,20250818_210058_AAPL_MSFT_20240101_20240110,2025-08-18T21:00:58.818475
2024-01-02,MSFT,373.8599853515625,375.8999938964844,366.7699890136719,370.8699951171875,366.70733642578125,25258600,,,,,,2025-08-19T01:00:58.784853+00:00,20250818_210058_AAPL_MSFT_20240101_20240110,2025-08-18T21:00:58.818475
2024-01-03,MSFT,369.010009765625,373.260009765625,368.510009765625,370.6000061035156,366.4404602050781,23083500,-0.0007279882903079571,-0.0007279882903079571,,,,2025-08-19T01:00:58.784853+00:00,20250818_210058_AAPL_MSFT_20240101_20240110,2025-08-18T21:00:58.818475
2024-01-04,MSFT,370.6700134277344,373.1000061035156,367.1700134277344,367.94000244140625,363.810302734375,20901500,-0.007177559682409629,-0.007177559682409629,,,,2025-08-19T01:00:58.784853+00:00,20250818_210058_AAPL_MSFT_20240101_20240110,2025-08-18T21:00:58.818475
2024-01-05,MSFT,368.9700012207031,372.05999755859375,366.5,367.75,363.6224060058594,21004600,-0.0005163951735215333,-0.0005163951735215333,,,,2025-08-19T01:00:58.784853+00:00,20250818_210058_AAPL_MSFT_20240101_20240110,2025-08-18T21:00:58.818475
2024-01-08,MSFT,369.29998779296875,375.20001220703125,369.010009765625,374.69000244140625,370.48455810546875,23134000,0.018871522614293035,0.018871522614293035,,,,2025-08-19T01:00:58.784853+00:00,20250818_210058_AAPL_MSFT_20240101_20240110,2025-08-18T21:00:58.818475
2024-01-09,MSFT,372.010009765625,375.989990234375,371.19000244140625,375.7900085449219,371.5721740722656,20830000,0.0029357764988342527,0.0029357764988342527,,,,2025-08-19T01:00:58.784853+00:00,20250818_210058_AAPL_MSFT_20240101_20240110,2025-08-18T21:00:58.818475
